Event DM1_gen DM1_reco DM2_gen DM2_reco Higgs_Charge_gen Higgs_D0_gen Higgs_DZ_gen Higgs_E_gen Higgs_Eta_gen Higgs_IsPU_gen Higgs_Mass_gen Higgs_PID_gen Higgs_PT_gen Higgs_Phi_gen MET_Phi_gen MET_Phi_reco MET_PT_gen MET_PT_reco METcov_xx_reco METcov_xy_reco METcov_yy_reco channel_gen channel_reco jet1_Eta_gen jet1_Eta_reco jet1_Mass_gen jet1_Mass_reco jet1_PT_gen jet1_PT_reco jet1_Phi_gen jet1_Phi_reco jet2_Eta_gen jet2_Eta_reco jet2_Mass_gen jet2_Mass_reco jet2_PT_gen jet2_PT_reco jet2_Phi_gen jet2_Phi_reco tau1_Charge_gen tau1_Charge_reco tau1_D0_gen tau1_DZ_gen tau1_E_gen tau1_Eta_gen tau1_Eta_reco tau1_IsPU_gen tau1_Mass_gen tau1_Mass_reco tau1_PID_gen tau1_PT_gen tau1_PT_reco tau1_Phi_gen tau1_Phi_reco tau2_Charge_gen tau2_Charge_reco tau2_D0_gen tau2_DZ_gen tau2_E_gen tau2_Eta_gen tau2_Eta_reco tau2_IsPU_gen tau2_Mass_gen tau2_Mass_reco tau2_PID_gen tau2_PT_gen tau2_PT_reco tau2_Phi_gen tau2_Phi_reco
1 None None 3prong0pi0 3prong1pi0 0 0.0 0.0 608.751586914 2.20382261276 0 125.0 25 129.941619873 2.67542719841 -2.81114792824 -3.11239361763 42.5916137695 48.4337463379 0.120987113151 0.0319463100605 0.163549027234 mt mt -2.56727743149 -2.56727743149 11.4859714508 11.4859714508 124.827087402 124.827087402 -0.0675487816334 -0.0675487816334 2.53956794739 2.53956794739 6.60738801956 6.60738801956 79.9306488037 79.9306488037 -0.815945625305 -0.815945625305 -1 -1 0.0 0.0 240.353393555 1.83924603462 1.85246789455 0 1.77681994438 None 15 74.5177154541 32.6282424927 -2.65908622742 -2.65745711327 1 1 0.0 0.0 368.398193359 1.92140674591 1.90072751045 0 1.77681994438 3.34198760986 -15 105.602966309 103.35282135 2.06473660469 2.05205225945
2 1prong1pi0 1prong1pi0 1prong1pi0 3prong2pi0 0 0.0 0.0 337.623840332 0.365031093359 0 125.0 25 293.836853027 -1.12632834911 -1.13308799267 -2.24361920357 26.3497161865 25.3962268829 0.542664760159 0.243267217738 0.231202508605 tt tt 0.259028851986 0.259028851986 44.0617408752 44.0617408752 319.764678955 319.764678955 2.03211236 2.03211236 None -0.697411477566 None 8.07775306702 None 38.913444519 None -0.403991937637 1 1 0.0 0.0 247.91758728 0.414207905531 0.408344864845 0 1.77681994438 1.33255422115 -15 228.065505981 210.599838257 -0.895240008831 -0.901932954788 -1 -1 0.0 0.0 89.7062683105 0.139902949333 0.171386316419 0 1.77681994438 9.58542060852 15 88.8180389404 87.8256759644 -1.75505769253 -1.76103413105
3 None None 3prong0pi0 7prong1pi0 0 0.0 0.0 186.478179932 -1.27605378628 0 125.0 25 71.6697235107 2.53799366951 3.09287595749 -3.04553771019 19.7728939056 41.0725898743 0.0758007869341 -0.000286208516259 0.103876006879 et et -0.365365117788 -0.365365117788 17.3973178864 17.3973178864 87.7906494141 87.7906494141 -0.124876782298 -0.124876782298 None None None None None None None None -1 -1 0.0 0.0 137.722473145 -1.25877511501 -1.27071726322 0 1.77681994438 None 15 72.382194519 51.1096687317 1.84820699692 1.84265315533 1 1 0.0 0.0 48.7556991577 -0.0250510126352 -0.180695161223 0 1.77681994438 11.4156332016 -15 48.708026886 50.2495803833 -2.50552225113 -2.39738368988
4 None None 1prong0pi0 5prong1pi0 0 0.0 0.0 175.413070679 -0.422451853752 0 125.0 25 112.843955994 1.6578284502 1.59710550308 1.41594457626 56.9702568054 62.6271095276 0.118203195601 -0.00838429251587 0.0745785903762 et et 0.284604400396 0.284604400396 8.81641674042 8.81641674042 100.534385681 100.534385681 -1.67387068272 -1.67387068272 None None None None None None None None 1 1 0.0 0.0 61.4003181458 -0.12949205935 -0.121808737516 0 1.77681994438 None -15 60.8636054993 34.0106773376 2.84512090683 2.84243226051 -1 -1 0.0 0.0 114.012748718 -0.378487080336 -0.379095226526 0 1.77681994438 7.12921285629 15 106.294128418 58.3206977844 1.09804546833 1.09797620773
5 None None 1prong1pi0 5prong3pi0 0 0.0 0.0 309.070861816 1.99265766144 0 125.0 25 75.6666717529 0.887203872204 0.815169453621 1.55729413033 27.856212616 23.6644611359 0.0828361006587 0.000527776218985 0.0846380261906 mt mt None -1.78180611134 None 3.80342578888 None 34.558380127 None -0.530892729759 4.0514922142 4.0514922142 2.84118580818 2.84118580818 27.7568950653 27.7568950653 -2.207665205 -2.207665205 -1 -1 0.0 0.0 238.963897705 1.93702328205 1.92848324776 0 1.77681994438 None 15 67.4810943604 37.7395401001 0.102561526 0.0946708098054 1 1 0.0 0.0 70.1069488525 0.717305898666 -0.271654218435 0 1.77681994438 9.54037094116 -15 55.2504692078 45.7409286499 1.92834997177 -2.75669765472
6 None None 3prong0pi0 3prong0pi0 0 0.0 0.0 386.697631836 -0.626767992973 0 125.0 25 304.203918457 0.159792885184 0.0742163434625 0.0293953958899 146.679779053 144.888198853 0.0962976895272 -0.0540758139269 0.338473053311 et et -0.622764289379 -0.622764289379 29.9491863251 29.9491863251 224.805923462 224.805923462 -3.01434326172 -3.01434326172 None -0.74908387661 None 4.49770545959 None 79.5139312744 None -2.52972364426 1 1 0.0 0.0 165.881408691 -0.957865357399 -0.970423400402 0 1.77681994438 None -15 110.957092285 34.4714851379 -0.227358877659 -0.244892418385 -1 -1 0.0 0.0 220.816223145 -0.380055874586 -0.376829743385 0 1.77681994438 0.597746253014 15 205.768478394 121.755828857 0.364814847708 0.36126947403
7 None None 1prong0pi0 1prong0pi0 0 0.0 0.0 141.130599976 -1.2105230093 0 125.0 25 35.8690376282 3.01752567291 2.75709748268 2.75805163383 7.10363721848 7.40800142288 0.0736257213922 -0.00356928224671 0.079166688159 mt mt 3.04513335228 3.04513335228 7.4720916748 7.4720916748 53.7001838684 53.7001838684 0.454843610525 0.454843610525 None None None None None None None None 1 1 0.0 0.0 59.4639701843 0.346412241459 0.342622071505 0 1.77681994438 None -15 56.0411491394 43.5086212158 -2.6713950634 -2.66244912148 -1 -1 0.0 0.0 81.666633606 -1.55187368393 -1.57339525223 0 1.77681994438 1.1680077705e-06 15 33.1081504822 25.0482063293 1.12196135521 1.14502763748
8 3prong1pi0 1prong0pi0 1prong0pi0 3prong1pi0 0 0.0 0.0 128.66003418 -1.08060991764 0 125.0 25 18.545955658 0.326968669891 0.77505338192 0.969690859318 2.68915724754 16.5298156738 0.0878598948434 -0.00509028655057 0.0854013158796 tt tt -1.41866600513 -1.41866600513 4.65340423584 4.65340423584 42.304397583 42.304397583 2.88856387138 2.88856387138 2.18793272972 2.18793272972 3.65279793739 3.65279793739 25.8740329742 25.8740329742 -0.384310245514 -0.384310245514 -1 1 0.0 0.0 77.7242584229 -0.894266605377 0.712949752808 0 1.77681994438 1.1680077705e-06 15 54.4440956116 50.3976707458 0.90226316452 -1.99271869659 1 -1 0.0 0.0 50.9357795715 0.715643286705 -0.896347880363 0 1.77681994438 1.25993442535 -15 40.1713905334 48.777759552 -1.9854234457 0.898265838623
9 None None None None 0 0.0 0.0 326.283172607 -1.23994362354 0 125.0 25 160.963516235 2.05548167229 2.08042621613 2.13148117065 82.1310272217 62.5945510864 0.292523463826 0.115484763653 0.14971572894 em em 2.32666635513 2.32666635513 53.9990921021 53.9990921021 256.386444092 256.386444092 -1.03195381165 -1.03195381165 -4.40166568756 3.34927606583 5.38167667389 11.5132198334 48.04662323 84.884223938 -3.09621500969 1.61208379269 -1 -1 0.0 0.0 304.345825195 -1.13009428978 -1.13511300087 0 1.77681994438 None 15 178.031570435 90.6060333252 2.12107205391 2.12702059746 1 1 0.0 0.0 21.9373645782 -0.382111817598 -0.343757003546 0 1.77681994438 None -15 20.3606891632 13.8786745071 -0.47582244873 -0.436098277569
10 None None None None 0 0.0 0.0 222.519424438 -2.45154261589 0 125.0 25 31.4891910553 -0.629304468632 -0.337874799967 -1.07092440128 20.4789199829 25.5618724823 0.0897472853986 -0.0197619184807 0.10261719454 em em 3.27046561241 3.27046561241 12.204035759 12.204035759 86.3170547485 86.3170547485 0.865284383297 0.865284383297 -2.0264377594 -2.0264377594 10.3366336823 10.3366336823 77.1589660645 77.1589660645 -2.82624435425 -2.82624435425 1 1 0.0 0.0 175.746170044 -2.39378285408 -2.41190433502 0 1.77681994438 None -15 31.8187465668 16.0861968994 -2.25379180908 -2.2397813797 -1 -1 0.0 0.0 46.7732543945 -0.184929341078 -0.175305426121 0 1.77681994438 None 15 45.9515075684 17.1601276398 0.134181529284 0.111650750041
